proposal_no,decision,occurrences,meeting,meeting_ym
WL/WB/Others/446612/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/447626/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/450998/2023,recommended,1,07 February 2024,2024-02
WL/MH/DRKWATER/442592/2023,,1,07 February 2024,2024-02
WL/LA/DEF/429567/2023,,1,07 February 2024,2024-02
WL/WB/Commpost/434642/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/434839/2023,,1,23 January 2024,2024-01
WL/WB/Others/434284/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/435001/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/434632/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/434819/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/434828/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/435171/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/434977/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/435260/2023,,1,23 January 2024,2024-01
WL/AP/Others/452223/2023,,1,23 January 2024,2024-01
WL/AP/Others/446987/2023,,1,23 January 2024,2024-01
WL/AP/Others/446678/2023,recommended,1,23 January 2024,2024-01
WL/AP/Others/450314/2023,,1,23 January 2024,2024-01
WL/AP/Others/450490/2023,recommended,1,23 January 2024,2024-01
WL/AN/Others/442205/2023,recommended,1,23 January 2024,2024-01
WL/KA/Others/432438/2023,,1,23 January 2024,2024-01
WL/KA/Others/432429/2023,,1,23 January 2024,2024-01
WL/KA/Others/431793/2023,,1,23 January 2024,2024-01
WL/KA/Others/432346/2023,recommended,1,23 January 2024,2024-01
WL/KA/CommPost/445952/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/446028/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445960/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445942/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/446037/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445924/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445995/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445988/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445849/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445997/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/446018/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445985/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445998/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445848/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/446046/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445993/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/446038/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/445992/2023,approved,1,23 January 2024,2024-01
WL/KL/CommPost/437450/2023,approved,1,23 January 2024,2024-01
WL/LA/CommPost/452547/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/438905/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451312/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451304/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451130/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451318/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451190/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451218/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451238/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451118/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451109/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451065/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451049/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451850/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451032/2023,recommended,1,23 January 2024,2024-01
WL/LA/CommPost/451198/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451381/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451206/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/451100/2023,,1,23 January 2024,2024-01
WL/LA/CommPost/452854/2023,recommended,1,23 January 2024,2024-01
WL/MH/RAIL/452557/2023,recommended,1,23 January 2024,2024-01
WL/MN/Others/448428/2023,recommended,1,23 January 2024,2024-01
WL/MN/Others/448739/2023,recommended,1,23 January 2024,2024-01
WL/RJ/Others/437823/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437992/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437889/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437909/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437793/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437782/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437817/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437691/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437957/2023,,1,23 January 2024,2024-01
WL/RJ/Others/437805/2023,,1,23 January 2024,2024-01
WL/RJ/Others/426297/2023,recommended,1,23 January 2024,2024-01
WL/RJ/Others/431603/2023,,1,23 January 2024,2024-01
WL/RJ/Others/431621/2023,,1,23 January 2024,2024-01
WL/RJ/Others/431607/2023,,1,23 January 2024,2024-01
WL/RJ/Others/431602/2023,,1,23 January 2024,2024-01
WL/RJ/Others/431606/2023,,1,23 January 2024,2024-01
WL/RJ/Others/436882/2023,,1,23 January 2024,2024-01
WL/TN/CommPost/437790/2023,approved,1,23 January 2024,2024-01
WL/UP/CommPost/434135/2023,,1,23 January 2024,2024-01
WL/WB/CommPost/435262/2023,approved,1,23 January 2024,2024-01
WL/WB/OFC/437309/2023,recommended,1,23 January 2024,2024-01
WL/AP/Others/449730/2023,,1,23 January 2024,2024-01
WL/AP/Others/454134/2023,approved,1,23 January 2024,2024-01
WL/AP/Others/449562/2023,,1,23 January 2024,2024-01
WL/AP/Others/449726/2023,,1,23 January 2024,2024-01
WL/AP/Others/453873/2023,,1,23 January 2024,2024-01
WL/AP/Others/453856/2023,,1,23 January 2024,2024-01
WL/AP/Others/454114/2023,,1,23 January 2024,2024-01
WL/GA/Others/445050/2023,,1,23 January 2024,2024-01
WL/GA/Others/439961/2023,,1,23 January 2024,2024-01
WL/GA/Others/444839/2023,,1,23 January 2024,2024-01
WL/GA/Others/445142/2023,,1,23 January 2024,2024-01
WL/GA/Others/432669/2023,,1,23 January 2024,2024-01
WL/GA/Others/445602/2023,recommended,1,23 January 2024,2024-01
WL/GA/Others/438630/2023,,1,23 January 2024,2024-01
WL/GA/Others/438632/2023,recommended,1,23 January 2024,2024-01
WL/KA/CommPost/441105/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441100/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441187/2023,approved,1,23 January 2024,2024-01
WL/KA/CommPost/441153/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441179/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441140/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441170/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441172/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441162/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441125/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/440939/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441184/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441112/2023,,1,23 January 2024,2024-01
WL/KA/CommPost/441188/2023,recommended,1,23 January 2024,2024-01
WL/TN/OFC/436880/2023,deferred,2,23 January 2024,2024-01
WL/HP/IND/402918/2022,approved,1,08 December 2023,2023-12
WL/HR/RAIL/442159/2023,recommended,1,08 December 2023,2023-12
WL/JK/INFRA/433714/2023,recommended,1,08 December 2023,2023-12
WL/JK/INFRA/433892/2023,recommended,1,08 December 2023,2023-12
WL/JK/INFRA/433873/2023,recommended,1,08 December 2023,2023-12
WL/LA/CommPost/430420/2023,approved,1,08 December 2023,2023-12
WL/MH/Pipeline/408723/2022,approved,1,08 December 2023,2023-12
WL/TN/DRKWATER/440863/2023,recommended,1,08 December 2023,2023-12
WL/TN/Approach/411858/2022,recommended,1,08 December 2023,2023-12
WL/UP/CommPost/417772/2023,recommended,1,08 December 2023,2023-12
WL/UP/CommPost/428131/2023,recommended,1,08 December 2023,2023-12
WL/UP/CommPost/428130/2023,recommended,1,08 December 2023,2023-12
WL/UP/SCH/427387/2023,recommended,1,08 December 2023,2023-12
WL/UP/OTHERS/407309/2022,approved,1,08 December 2023,2023-12
WL/UK/Others/439071/2023,approved,1,08 December 2023,2023-12
WL/KL/CommPost/441003/2023,,1,08 December 2023,2023-12
WL/KL/CommPost/437555/2023,,1,08 December 2023,2023-12
WL/KL/CommPost/437360/2023,,1,08 December 2023,2023-12
WL/KL/CommPost/437420/2023,,1,08 December 2023,2023-12
WL/TN/CommPost/421459/2023,,1,08 December 2023,2023-12
WL/WB/CommPost/434662/2023,,1,08 December 2023,2023-12
WL/JK/DRKWATER/430109/2023,,1,20 September 2023,2023-09
WL/JK/DRKWATER/430107/2023,,1,20 September 2023,2023-09
WL/JK/DRKWATER/430105/2023,,1,20 September 2023,2023-09
WL/JK/DRKWATER/430090/2023,,1,20 September 2023,2023-09
WL/LA/Others/424604/2023,,1,20 September 2023,2023-09
WL/MP/Pipeline/423646/2023,,1,20 September 2023,2023-09
WL/MH/ROAD/412081/2022,deferred,1,20 September 2023,2023-09
WL/PB/MinorCanal/421503/2023,deferred,1,20 September 2023,2023-09
WL/UP/Pipeline/413104/2023,,1,20 September 2023,2023-09
WL/UK/Others/416953/2023,recommended,1,07 August 2023,2023-08
WL/HP/Others/422104/2023,recommended,1,07 August 2023,2023-08
WL/LA/INFRA/417251/2023,recommended,1,07 August 2023,2023-08
WL/LA/DEF/428360/2023,recommended,1,07 August 2023,2023-08
WL/LA/DEF/428207/2023,recommended,1,07 August 2023,2023-08
WL/LA/DEF/413973/2023,recommended,1,07 August 2023,2023-08
WL/LA/DEF/427804/2023,recommended,1,07 August 2023,2023-08
WL/LA/DEF/427716/2023,approved,1,07 August 2023,2023-08
WL/TG/Pipeline/405097/2022,approved,1,07 August 2023,2023-08
WL/TG/Pipeline/406315/2022,approved,1,07 August 2023,2023-08
WL/UP/Pipeline/401299/2022,recommended,1,07 August 2023,2023-08
WL/UP/Pipeline/412320/2022,approved,1,07 August 2023,2023-08
WL/LA/CommPost/428607/2023,recommended,1,07 August 2023,2023-08
WL/LA/CommPost/430176/2023,,1,07 August 2023,2023-08
WL/LA/CommPost/430177/2023,,1,07 August 2023,2023-08
WL/LA/CommPost/430180/2023,,1,07 August 2023,2023-08
WL/LA/CommPost/430182/2023,,1,07 August 2023,2023-08
WL/LA/CommPost/430186/2023,recommended,1,07 August 2023,2023-08
WL/AP/ROAD/418292/2023,deferred,1,11 May 2023,2023-05
WL/SK/OTHERS/400416/2022,,1,27 January 2023,2023-01
WL/SK/TRANS/400335/2022,,1,27 January 2023,2023-01
